muB[GeV] ave(cs2) std(cs2)
2.250000000000000000e+00 3.141749979999999831e-01 1.356020612495975435e-02
2.253534999999999844e+00 3.140876149999999312e-01 1.321530468495051361e-02
2.257070999999999827e+00 3.140036300000000336e-01 1.288206891818624231e-02
2.260606000000000115e+00 3.139229210000000214e-01 1.256010275841957548e-02
2.264140999999999959e+00 3.138453710000000396e-01 1.224900557144370690e-02
2.267676999999999943e+00 3.137708739999999774e-01 1.194842606740000555e-02
2.271211999999999787e+00 3.136993269999999723e-01 1.165800032272992261e-02
2.274747000000000074e+00 3.136306269999999952e-01 1.137739860438980594e-02
2.278283000000000058e+00 3.135646750000000704e-01 1.110629671579482780e-02
2.281817999999999902e+00 3.135013890000000192e-01 1.084439812972481237e-02
2.285353999999999886e+00 3.134406720000000313e-01 1.059140420164465628e-02
2.288889000000000173e+00 3.133824349999999592e-01 1.034705418746200388e-02
2.292424000000000017e+00 3.133265960000000128e-01 1.011105951461982282e-02
2.295960000000000001e+00 3.132730960000000286e-01 9.883176681238885208e-03
2.299494999999999845e+00 3.132218429999999443e-01 9.663153996736834409e-03
2.303030000000000133e+00 3.131727659999999913e-01 9.450783003679850622e-03
2.306566000000000116e+00 3.131258029999999803e-01 9.245801693963103668e-03
2.310100999999999960e+00 3.130808769999999797e-01 9.048017849815006772e-03
2.313635999999999804e+00 3.130379300000000753e-01 8.857220792195483541e-03
2.317171999999999787e+00 3.129968939999999700e-01 8.673211048058496533e-03
2.320707000000000075e+00 3.129577290000000178e-01 8.495785210612316271e-03
2.324241999999999919e+00 3.129203450000000442e-01 8.324767158177761098e-03
2.327777999999999903e+00 3.128847200000000051e-01 8.159970989458233126e-03
2.331313000000000191e+00 3.128507720000000547e-01 8.001222678692052753e-03
2.334848000000000035e+00 3.128184680000000162e-01 7.848362031913157233e-03
2.338384000000000018e+00 3.127877510000000028e-01 7.701214229892516111e-03
2.341918999999999862e+00 3.127585769999999821e-01 7.559627394255022045e-03
2.345454999999999846e+00 3.127309050000000035e-01 7.423448299265980946e-03
2.348990000000000133e+00 3.127046749999999875e-01 7.292517044400718441e-03
2.352524999999999977e+00 3.126798539999999793e-01 7.166690843135622817e-03
2.356060999999999961e+00 3.126564059999999978e-01 7.045833373587826083e-03
2.359595999999999805e+00 3.126342780000000432e-01 6.929790090321349266e-03
2.363131000000000093e+00 3.126134309999999972e-01 6.818441676595831183e-03
2.366667000000000076e+00 3.125938500000000064e-01 6.711645550407143064e-03
2.370201999999999920e+00 3.125754720000000209e-01 6.609273486050943995e-03
2.373737000000000208e+00 3.125582639999999746e-01 6.511189562553377705e-03
2.377273000000000192e+00 3.125422170000000111e-01 6.417263489978494717e-03
2.380808000000000035e+00 3.125272760000000205e-01 6.327392516086230434e-03
2.384342999999999879e+00 3.125134119999999904e-01 6.241446045401338391e-03
2.387878999999999863e+00 3.125006049999999869e-01 6.159291551556474870e-03
2.391414000000000151e+00 3.124888180000000015e-01 6.080821329563628266e-03
2.394948999999999995e+00 3.124780159999999696e-01 6.005911240381762300e-03
2.398484999999999978e+00 3.124681729999999602e-01 5.934466314233406009e-03
2.402019999999999822e+00 3.124592720000000101e-01 5.866353462417344365e-03
2.405555999999999806e+00 3.124512710000000304e-01 5.801476131025534028e-03
2.409091000000000093e+00 3.124441630000000525e-01 5.739717289286207051e-03
2.412625999999999937e+00 3.124379179999999812e-01 5.680974552862914397e-03
2.416161999999999921e+00 3.124324980000000029e-01 5.625148043847025790e-03
2.419697000000000209e+00 3.124278999999999806e-01 5.572115960369095761e-03
2.423232000000000053e+00 3.124240960000000400e-01 5.521793054070751883e-03
2.426768000000000036e+00 3.124210459999999800e-01 5.474081411788098844e-03
2.430302999999999880e+00 3.124187529999999935e-01 5.428881704392813159e-03
2.433838000000000168e+00 3.124171809999999883e-01 5.386088306994138257e-03
2.437374000000000152e+00 3.124163210000000523e-01 5.345615259804899558e-03
2.440908999999999995e+00 3.124161500000000036e-01 5.307371805602092811e-03
2.444443999999999839e+00 3.124166450000000483e-01 5.271270064517180436e-03
2.447979999999999823e+00 3.124177879999999741e-01 5.237210746309145515e-03
2.451515000000000111e+00 3.124195679999999808e-01 5.205124215499185546e-03
2.455051000000000094e+00 3.124219560000000007e-01 5.174911282859254169e-03
2.458585999999999938e+00 3.124249479999999801e-01 5.146511031844389419e-03
2.462120999999999782e+00 3.124285279999999831e-01 5.119831138916204963e-03
2.465657000000000210e+00 3.124326709999999951e-01 5.094795223977013204e-03
2.469192000000000053e+00 3.124373579999999428e-01 5.071326706359588141e-03
2.472726999999999897e+00 3.124425870000000494e-01 5.049353149140091250e-03
2.476262999999999881e+00 3.124483409999999628e-01 5.028812869556691101e-03
2.479798000000000169e+00 3.124546000000000268e-01 5.009643125872339717e-03
2.483333000000000013e+00 3.124613509999999983e-01 4.991753116140558791e-03
2.486868999999999996e+00 3.124685910000000177e-01 4.975098939279400632e-03
2.490403999999999840e+00 3.124762909999999616e-01 4.959616801651008620e-03
2.493939000000000128e+00 3.124844569999999933e-01 4.945241872290076501e-03
2.497475000000000112e+00 3.124930560000000468e-01 4.931925370893604221e-03
2.501009999999999955e+00 3.125020889999999829e-01 4.919602616104173237e-03
2.504544999999999799e+00 3.125115359999999787e-01 4.908224574803397681e-03
2.508080999999999783e+00 3.125214000000000047e-01 4.897743556986216239e-03
2.511616000000000071e+00 3.125316619999999879e-01 4.888107887716473289e-03
2.515152000000000054e+00 3.125423049999999647e-01 4.879268770858499402e-03
2.518686999999999898e+00 3.125533269999999919e-01 4.871184317737422068e-03
2.522222000000000186e+00 3.125647100000000234e-01 4.863815446097844060e-03
2.525758000000000170e+00 3.125764600000000559e-01 4.857112926090972373e-03
2.529293000000000013e+00 3.125885449999999954e-01 4.851036292017919804e-03
2.532827999999999857e+00 3.126009750000000587e-01 4.845553267262160159e-03
2.536363999999999841e+00 3.126137280000000906e-01 4.840627954678606258e-03
2.539899000000000129e+00 3.126268020000000369e-01 4.836225757364516140e-03
2.543433999999999973e+00 3.126401850000000149e-01 4.832301862205528979e-03
2.546969999999999956e+00 3.126538710000000276e-01 4.828839155828134819e-03
2.550504999999999800e+00 3.126678590000000479e-01 4.825801417176113321e-03
2.554040000000000088e+00 3.126821250000000330e-01 4.823164797482561335e-03
2.557576000000000072e+00 3.126966669999999282e-01 4.820893628261361044e-03
2.561110999999999915e+00 3.127114730000000176e-01 4.818975126826346815e-03
2.564646000000000203e+00 3.127265619999999857e-01 4.817370999015541805e-03
2.568182000000000187e+00 3.127418869999999962e-01 4.816060539064161844e-03
2.571717000000000031e+00 3.127574700000000374e-01 4.815026526271689450e-03
2.575253000000000014e+00 3.127732889999999544e-01 4.814247848146062728e-03
2.578787999999999858e+00 3.127893419999999702e-01 4.813693688222799028e-03
2.582323000000000146e+00 3.128056290000000295e-01 4.813358590823976768e-03
2.585859000000000130e+00 3.128221360000000284e-01 4.813218804116846210e-03
2.589393999999999973e+00 3.128388619999999953e-01 4.813257215665498086e-03
2.592928999999999817e+00 3.128557849999999974e-01 4.813458997734892594e-03
2.596464999999999801e+00 3.128729189999999716e-01 4.813799705216142109e-03
2.600000000000000089e+00 3.128902590000000039e-01 4.814277301757658410e-03
